NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;REGION;DEPARTEMENT;coordonnees_finales
Musée de Tessé;7218101;2, Avenue de Paderborn;72000;LE MANS;02 43 47 38 51;02 43 47 49 93;;;Ouvert du 1er septembre au 30 juin du mardi au samedi de 9h à 12h et de 14h à 18h, dimanche et jours fériés de 10h à 12h30 et de 14h à 18h en juillet-août du mardi au dimanche de 10h à 12h30 et de 14h à 18h30;;06/01/2002;;PAYS DE LA LOIRE;SARTHE;48.009934,0.204194
Musée de la Reine Bérengère;7218102;7/9, Rue de la Reine Bérengère;72000;LE MANS;02 43 47 38 80;02 43 47 49 93;;1er janvier;Ouvert du mardi au dimanche de 14h à 18h d'octobre à mai et de juin à septembre du mardi au dimanche de 10h à 12h30 et de 14h à 18h;;06/01/2002;;PAYS DE LA LOIRE;SARTHE;48.008953,0.1977
Château-musée de Nemours;7733302;Rue Gautier 1er;77140;NEMOURS;01 64 28 27 42;;;1er mai, 25 décembre, 1er janvier;"Ouvert du mercredi au samedi de 10h à 12h30 et de 14h à 18h, dimanche de 14h à 18h; Accueil de groupes le mardi";;01/02/2003;;ÎLE-DE-France;SEINE ET MARNE;48.265559,2.696199
Musée du Château;8516302;Place d'Armes;85330;NOIRMOUTIER-EN-L'ILE;02 51 39 10 42;02 51 39 24 55;;Décembre et janvier;Ouvert en 2012 du 11 février au 8 avril de 14h à 18h, du 9 avril au 8 mai de 11h à 18h, du 9 mai au 17 juin de 11h à 18h, du 18 juin au 18 septembre de 10h à 19h et du 19 septembre au 6 novembre de 13h à 18h;;01/02/2003;;PAYS DE LA LOIRE;VENDEE;46.999717,-2.243097
Musée Tavet Delacour;9550001;4, Rue Lemercier;95300;PONTOISE;01 30 38 02 40;01 30 30 50 46;;Jours fériés;Ouvert du mercredi au dimanche de 10h à 12h30 et de 13h30 à 18h;;01/02/2003;;ÎLE-DE-France;VAL D'OISE;49.050929,2.099776
Musée International du Long-Cours Cap-Hornier;3528801;Tour Solidor Esplanade du Commandant Menguy - B.P. 147;35401;SAINT-MALO;02 99 40 71 16;02 99 40 71 56;;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert d'avril à septembre tous les jours de 10h à 12h30 et de 14h à 18h et d'octobre à mars de 10h à 12h et de 14h à 18h du mardi au dimanche;;01/02/2003;;BRETAGNE;ILE ET VILAINE;
Musée Jean-Charles Cazin;6277301;84, Grand' Place Foch;62830;SAMER;03 21 33 50 64;03 21 83 57 97;;;Ouvert du lundi au vendredi de 9h à12h et de 14h à 17h et le samedi de 9h à12h;;01/02/2003;;HAUTS-DE-France;PAS-DE-CALAIS;50.63954,1.745547
Muséum d'histoire naturelle Philadelphe Thomas;8109902;2, Place Philadelphe Thomas;81600;GAILLAC;05 63 57 36 31;05 63 57 56 83;;Janvier;Ouvert de novembre à décebmbre et de février à mars les vendredis, samedis et dimanches, de 10h à 12h, et de 14h à 18h et d'avril à octobre du mercredi au lundi de 10h à 12h et de 14h à 18h;;01/02/2003;;OCCITANIE;TARN;43.899632,1.89394
Musée Municipal - Collections Paul et André Véra;7855102;Espace Paul et André Véra 2, Rue Henri IV;78100;SAINT-GERMAIN-EN-LAYE;01 39 73 02 64;01 39 73 10 15;;Jours fériés;Ouvert du mercredi au vendredi de 14h à 19h, samedi, dimanche de 15h à 19h;;01/02/2003;;ÎLE-DE-France;YVELINES;48.9409298615,2.0992045515
Centre National Jean Moulin;3306309;Direction des établissements culturels 48, rue Vital Carles;33000;BORDEAUX;05 56 10 19 90;05 56 10 19 91;;Certains jours fériés;Ouvert du mardi au dimanche de 14h à 18h - (ouvert le 14 juillet et le 15 août);;01/02/2003;;NOUVELLE-AQUITAINE;GIRONDE;44.8579384389,-0.573595011059
Musée d'Archéologie;921101;32, Village;9300;MONTSEGUR;05 61 01 06 94;05 61 03 11 27;;Janvier et 25 décembre;Ouvert de février à mars de 14h à 17h, en avril de 14h à 18h, de mai à septembre de 11h à 13h et de 14h à 19h, en octobre de 14h à 18h et de novembre à décembre de 14h à 17h;;01/02/2003;;OCCITANIE;ARIEGE;42.871132,1.833173
Musée et site d'Olbia;8306901;3204 Route de l'Almanarre;83400;HYERES;04 94 65 51 59;04 94 00 82 91;;1er mai;Ouvert le lundi, et du mercredi au samedi d'avril à  mai et de septembre à octobre de 9h30 à 12h et de 14h à 17h30 et le dimnche après-midi et de juin à août de 9h30 à 12h et de 15h30 à 18h le lundi, du mercredi au vendredi, le dimanche après-midi;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.080197,6.123127
Musée de Provins et du Provinois;7737901;7, rue du Palais;77160;PROVINS;01 64 00 59 60;01 60 58 93 43;;30 août 2015 et du 21 décembre 2015 au 1er janvier 2016;Ouvert de début janvier à fin mars et de début novembre au 20 décembre inclus, les week-end et jours fériés et tous les jours pendant les vacances scolaires (zone C) de 12h à 17h30. De fin mars à mi-juin de 12h à 17h30. De mi-juin à mi-septembre tous les;;01/02/2003;;ÎLE-DE-France;SEINE ET MARNE;48.561624,3.290374
Musée d'Art Naïf Anatole Jakovsky;608804;Château Sainte-Hélène 23, Avenue de Fabron;6200;NICE;04 93 71 78 33;04 93 72 34 10;;1er janvier, le dimanche de Pâques, le 1er mai, le 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.7122279855,7.23752896461
Musée de Préhistoire;8215501;Hôtel de Ville Place de la Mairie;82140;SAINT-ANTONIN-NOBLE-VAL;05 63 68 23 52;;;;Ouvert du mardi au samedi de 16h à 19h;;01/02/2003;;OCCITANIE;TARN-ET-GARONNE;44.152188201,1.74194876605
Musée La Bourrine du Bois-Juquaud;8522601;4, Chemin du Bois Juquaud;85270;SAINT-HILAIRE-DE-RIEZ;02 51 49 27 37;02 51 93 83 02;;1er novembre, 25 décembre et 1er janvier;Ouvert en avril du mardi au dimanche et jours fériés de 14h à 18h, en mai, juin et septembre du lundi ausamedi de 14h à 18h, dimanche et jours fériés de 15h à 19h, en juillet-août du lundi au samedi de 10h à 12h30 et de 14h à 19h, dimanche et jours fériés;;28/07/2004;;PAYS DE LA LOIRE;VENDEE;46.75833,-1.953063
Musée Municipal;7605701;Hôtel de Ville Place de la Libération;76360;BARENTIN;02 32 94 90 20;02 35 91 66 28;;;;;01/02/2003;;NORMANDIE;SEINE-MARITIME;49.5442328015,0.945102763311
Musée Estève;1803301;Hôtel des Echevins 13, Rue Edouard Branly;18000;BOURGES;02 48 24 75 38;02 48 24 29 48;;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;;01/02/2003;;CENTRE-VAL DE LOIRE;CHER;47.0747448585,2.40489595766
Muséum des Sciences Naturelles et de Préhistoire;2808502;5 bis, Bd de la Courtille;28000;CHARTRES;02 37 88 43 86;02 37 23 41 99;;;Ouvert durant les vacances scolaires du lundi au vendredi de 14h à 18h, hors vacances scolaires le mercredi et dimanche de 14h à 17h. Accueil des groupes sur rendez-vous toute la semaine;;01/02/2003;;CENTRE-VAL DE LOIRE;EURE ET LOIR;48.441822,1.490983
Musée d'Art et d'Histoire;4909901;27, Avenue de l'Abreuvoir;49300;CHOLET;02 72 77 23 22;02 72 77 21 78;;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au samedi et les jours fériés de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h, en juillet-août tous les jours de 10h à 12h et de 14h à 18h;;06/04/2002;;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.058385,-0.882284
Musée d'Histoire et d'Archéologie;6241301;50, rue André Deprez;62440;HARNES;03 21 49 02 29;;;;Ouvert le mercredi de 10h à 12h et de 15h à 18h et le samedi de 15h à 18h. Ouvert pour les groupes tous les jours sur rendez-vous;;01/02/2003;;HAUTS-DE-France;PAS-DE-CALAIS;50.447577,2.91073
Musée de l'Hôtel Dubocage de Bléville;7635103;1, Rue Jérôme Bellarmato;76600;LE HAVRE;02 35 42 27 90;02 35 26 76 69;;1er janvier, 1er et 8 mai, 14 juillet, 11 novembre et 25 décembre;Ouvert du 1er avril au 31 octobre du mercredi au  lundi de 10h à 12h30 et de 13h45 à 18h et du 1er novembre au 31 mars de 10h30 à 12h30 et e 13h45 à 17h30;;01/02/2003;;NORMANDIE;SEINE-MARITIME;49.488697,0.114414
Musée d'Art et d'Histoire de Melun;7728802;5, Rue du Franc Mûrier;77008;MELUN;01 64 79 77 70;01 64 79 77 71;;Jours fériés;Ouvert du mercredi au dimanche de 14h à 18h;;01/02/2003;;ÎLE-DE-France;SEINE ET MARNE;
Musée du Peigne et de la Plasturgie;128301;Centre Culturel Aragon Place Georges Pompidou;1100;OYONNAX;04 74 81 96 82;04 74 81 96 86;;Janvier et jours fériés;Ouvert d'octobre à juin du mardi au samedi de 14h à 18h et le premier dimanche de chaque mois de 14h à 18h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;AIN;46.2468792013,5.65226081977
Musée du Vieux-Logis de Nice;608809;59, Avenue Saint Barthélémy;6000;NICE;04 93 84 44 74;04 93 82 39 79;;1er janvier, le dimanche de Pâques, 1er mai, 25 décembre;Ouvert le mercredi  de 15h à 18h;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.706469,7.254912
Musée Jean Aicard;8306201;Villa les Lauriers Roses 705, Avenue du 8 Mai 1945;83130;LE POUVEREL LA GARDE;04 94 14 33 78;04 94 36 82 21;;1er janver, lundi de Pâques, 1er & 8 mai, Ascension, lundi de Pentecôte, 14 juillet, Assomption, 1er & 11 novembre et du 24 au 31 décembre;Ouvert sur rendez-vous;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.1266498114,6.01917093261
Musée des Beaux-Arts;3919801;85, rue des Arènes;39100;DOLE;03 84 79 25 85;03 84 72 89 46;;1er mai, 1er novembre, du 24 décembre au 1er janvier;Ouvert mardi, jeudi, vendredi et samedi de 10h à 12h et de 14h à 18h, le mercredi de 10h à 12h et de 14h à 20h, dimanche de 14h à 18h;Mercredi jusqu'à 20h;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;JURA;47.089059,5.488205
Musée Léon Alègre;3002802;24, avenue Paul Langevin;30200;BAGNOLS-SUR-CEZE;04 66 89 74 00;04 66 90 59 39;;Février;Ouvert mardi, jeudi et vendredi de 10h à 12h et de 14h à 18h;;01/02/2003;;OCCITANIE;GARD;44.164783,4.62103
Musée Théophile Jouglet;5901401;215, Avenue Anatole-France;59410;ANZIN;03 61 32 10 60;03 27 28 21 01;;;Ouverture du mardi au vendredi de 14h30 à 18h et le samedi de 14h30 à 18h30;;01/02/2003;;HAUTS-DE-France;NORD;50.372162,3.502134
Musée de Salon et de la Crau;1310302;Château de l'Empéri 1, Montée du Puech;13300;SALON-DE-PROVENCE;04 90 56 22 36;04 90 56 90 84;;;Ouvert du mardi au dimanche du 16 avril au 30 septembre de 9h30 à 12h et de 14h à 18h et du 1er octobre au 15 avril de 13h30 à 18h;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.6464319995,5.06800446267
Ecomusée;7744501;Ferme de Coulevrain Place Georges Henri Rivière;77176;SAVIGNY-LE-TEMPLE;01 64 41 01 23;01 64 10 94 90;;25 décembre, 1er janvier, 1er novembre et 1er mai;Ouvert du mercredi au vendredi de 14h à 17h, le samedi et dimanche de 15h à 18h. Sur réservation de 10h à 12h;;01/02/2003;;ÎLE-DE-France;SEINE ET MARNE;48.5856002138,2.56311279324
Musée Hôtel Morin;3700301;60, Rue Concorde B.P. 247;37402;AMBOISE;02 47 23 47 42;02 47 23 19 80;;1er octobre au 30 juin excepté du 14 au 22 novembre;Ouvert du mercredi au lundi de 10h à 12h30 et de 14h à 18h du 15 juin aux journées du patrimoine. Le reste de l'année ouvert pour les groupes sur demande;;01/02/2003;;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;
Musée du Berry;1803303;Hôtel Cujas 4, Rue des Arènes;18000;BOURGES;02 48 57 81 15;02 48 26 52 24;;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;;01/02/2003;;CENTRE-VAL DE LOIRE;CHER;47.0747448585,2.40489595766
Musée des Meilleurs Ouvriers de France;1803306;Place Etienne Dolet;18000;BOURGES;02 48 57 82 45;02 48 65 00 77;;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;;01/02/2003;;CENTRE-VAL DE LOIRE;CHER;47.081888,2.398484
Musée des Arts Décoratifs;1803302;Hôtel Lallemant 5, Rue de l'Hôtel Lallemant;18000;BOURGES;02 48 57 81 17;02 48 26 52 24;;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;;01/02/2003;;CENTRE-VAL DE LOIRE;CHER;47.0747448585,2.40489595766
Musée des Beaux-Arts;8109901;Avenue Dom-Vayssette;81600;GAILLAC;05 63 57 18 25;05 63 57 56 83;;Janvier;Ouvert de novembre à décebmbre et de février à mars les vendredis, samedis et dimanches, de 10h à 12h, et de 14h à 18h et d'avril à octobre du mercredi au lundi de 10h à 12h et de 14h à 18h;;01/02/2003;;OCCITANIE;TARN;43.894261,1.901851
Musée d'Allard;4214701;13, Boulevard de la Préfecture;42600;MONTBRISON;04 77 96 39 15;04 77 58 83 34;;25 décembre et 1er janvier;Ouvert du mercredi au lundi de 14 h à 18 h et tous les jours pour les groupes sur rendez-vous;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;LOIRE;45.608241,4.06195
Musée Municipal Bruno Danvin;6276701;Rue Oscar Ricque;62130;SAINT-POL-SUR-TERNOISE;03 21 04 56 25;03 21 47 50 33;;;Ouvert le lundi de 11h à 13h, le mercredi et samedi de 15h à 18h, dimanche de 11h à 12h30 et de 15h à 18h;;01/02/2003;;HAUTS-DE-France;PAS-DE-CALAIS;50.381512,2.337066
Musée Municipal de Souvigny;327501;Place Aristide Briand;3210;SOUVIGNY;04 70 43 99 75;04 70 43 66 18;;1er mai, 25 décembre, 1er janvier - Mars;Ouvert du 1er avril au 20 novembre du mercredi au lundi de 9h à 12h et de 14h à 18h, de juin à septembre tous les jours de 9h à 12h et de 14h à 18h, en juillet-août de 9h à 12h et de 13h à 18h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;ALLIER;46.534816,3.192487
Musée Alphonse-Georges Poulain;2768101;12, Rue du Pont;27200;VERNON;02 32 21 28 09;02 32 51 11 17;;Certains jours fériés;Ouvert du mardi au dimanche d'avril à octobre de 10h30 à 18h et de novembre à mars du mardi au vendredi de 14h à 17h30, samedi et dimanche de 14h30 à 17h30;;01/02/2003;;NORMANDIE;EURE;49.094855,1.484927
Musée de l'Académie de La Val d'Isère;7318101;23, Place Saint-Pierre;73600;MOÛTIERS;04 79 24 31 80;04 79 24 56 05;;Fêtes;Ouvert du lundi au samedi de 9h à 12h et de 14h à 18h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.483424,6.532778
Musée Murat;4613801;Place de Tolentino;46240;LABASTIDE MURAT;05 65 35 23 63;05 65 31 13 98;;;Ouvert du mercredi au lundi du 15 juillet au 15 septembre de 10h à 12h et de 15h à 18h ainsi que les deux jours JEP;;01/02/2003;;OCCITANIE;LOT;44.646438,1.567198
Musée Municipal - Musée du Jouet;6116801;32, Rue de la Victoire;61600;LA FERTE-MACE;02 33 37 47 00;02 33 37 52 84;;;Ouvert d'avril à juin et septembre samedi, dimanche et jours fériés de 15h à 18h, juillet-août tous les jours de 15h à 18h, octobre à mars sur rendez-vous pour les groupes;;01/02/2003;;NORMANDIE;ORNE;48.590293,-0.359226
Musée de la Faucillonnaie;3519401;Manoir de la Faucillonnaie;35500;MONTREUIL-SOUS-PEROUSE;02 99 75 04 54;02 99 74 08 26;;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 30 avril de 10h à 12h15 et de 14h à 17h30 le lundi, du mercredi au samedi, et le dimanche de 14h à 17h30 et du 1er mai au 30 septembre de 10h à 12h15 et de 14h à 18h du mercredi au lundi;;01/02/2003;21/03/2011 00:00;BRETAGNE;ILE ET VILAINE;48.150498,-1.235143
Musée Saint-Nicolas;3536001;15, Rue Pasteur;35506;VITRE;02 99 75 04 54;02 99 74 08 26;;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de 10h30 à 12h15 et de 14h à 17h30 le vendredi, samedi et le dimanche de 14h à 17h30 et du 1er avril au 30 septembre de 10h30 à 12h30 et de 14h à 18h30 tous les jours;;01/02/2003;10/07/2017 00:00;BRETAGNE;ILE ET VILAINE;
Musée du Château de Vitré;3536002;Place du Château;35506;VITRE;02 99 75 04 54;02 99 74 08 26;;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de 10h30 à 12h30 et de 14h à 17h30 le lundi, du mercredi au vendredi, le samedi et dimanche de 14h à 17h30 et du 1er avril au 30 septembre de 10h à 12h30 et de 14h à 18h tous les jours et en juillet-août tous les jours de;;01/02/2003;;BRETAGNE;ILE ET VILAINE;
Musée des Rochers-Sévigné;3536003;Route d'Argentré du Plessis;35500;VITRE;02 99 75 04 54;02 99 74 08 26;;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de14h à 17h30 le vendredi, samedi, dimanche et du 1er avril au 30 septembre de 10h30 à 12h30 et de 14h à 18h tous le jours;;01/02/2003;;BRETAGNE;ILE ET VILAINE;48.123769,-1.207406
Musée de la Résistance;1026101;Rue Boursault;10250;MUSSY-SUR-SEINE;03 25 38 42 08;03 25 38 42 08;;;Ouvert d'octobre à mars du mardi au vendredi de 9h à 13h et de 14h30 à 17h30, d'avril à mai du lundi au vendredi de 9h à 13h et de 14h à 18h et de juin à septembre du mardi au samedi de 9h à 13h et de 14h à 18h;;01/02/2003;;GRAND EST;AUBE;47.977391,4.498921
Musée Municipal;5805901;33, Rue des Chapelains;58400;LA CHARITE-SUR-LOIRE;03 86 70 34 83;03 86 70 34 83;;Octobre à mai;Ouvert de juin à septembre de 10h à 12h et de 15h à18h. Pendant les expositions du mercredi au dimanche de 10h à 12h et de 15h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;47.178733,3.015633
Musée Archéologique et Historique;1601503;44, Rue de Montmoreau;16000;ANGOULEME;05 45 94 90 75;05 45 94 90 75;;;;;01/02/2003;;NOUVELLE-AQUITAINE;CHARENTE;45.647813,0.160838
Musée Albert André;3002801;Hôtel de ville Place Auguste-Mallet;30200;BAGNOLS-SUR-CEZE;04 66 50 50 56;04 66 90 59 39;;Février;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;;01/02/2003;;OCCITANIE;GARD;44.1738229164,4.60897329043
Musée des Arts et Traditions Populaires de Haute Loire;4311701;;43100;LAVAUDIEU;04 71 76 08 90;04 71 76 08 90;;Décembre à mars;Ouvert du 26 mars au 30 juin et du 5 septembre au 13 novembre tous les jours, et du 1er juillet au 4 septembre tous les jours;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;45.262726,3.453911
Musée de Sarlat et du Périgord Noir;2452002;;24205;SARLAT-LA-CANEDA;05 53 29 82 98;05 53 29 80 35;;;Ouvert selon les expositions et les périodes;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;
Musée d'Art et d'Histoire du Pays Blayais;3305801;Citadelle de Blaye;33390;BLAYE;05 57 42 68 68;;;;;;01/02/2003;;NOUVELLE-AQUITAINE;GIRONDE;45.126379,-0.663606
Château de Bourdeilles;2405501;Bourdeilles;24310;BOURDEILLES;05 53 03 73 36;05 53 03 73 36;;Janvier;Ouvert tous les jours en saison et hors saison du mercredi au lundi;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;45.316706,0.565746
Musée Départemental de la Poupée et du Jouet;2431101;Avenue du Général Leclerc;24300;NONTRON;05 53 56 20 80;05 53 73 20 72;;;;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;45.527035,0.660711
Musée Municipal Albert Marzelles;4715701;15, Rue Abel Boyé;47200;MARMANDE;05 53 64 42 04;05 53 64 28 81;;;Ouvert du mercredi au vendredi de 15h à 18h, et le samedi de 10h à 12h et de 15h à 18h;;01/02/2003;;NOUVELLE-AQUITAINE;LOT ET GARONNE;44.498918,0.166067
Musée Fernand Desmoulin;2406401;Boulevard Charlemagne;24310;BRANTOME;05 53 05 80 63;05 53 35 45 18;;Janvier à mi-février;Ouvert du mercredi au dimanche (mi-février, mars, octobre à décembre) de 10h à 12h et de 14h à 17 et  tous les jours d'avril à mai de 10h à 13h et de 14h à 18h, en juin et en septembre de 10h à 18h, en juillet-août de 10h à 19h;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;45.364625,0.647344
Musée du Château Henri IV;4719501;Rue Henri IV;47600;NERAC;05 53 65 21 11;05 53 97 08 35;;Décembre, janvier, 1er week-end de mai et 3ème lundi de septembre;Ouvert de fin mai à mi-septembre tous les jours de 10h à 18h;;01/02/2003;;NOUVELLE-AQUITAINE;LOT ET GARONNE;44.135039,0.340028
Musée de la Voiture à Cheval. Au temps des calèches;3306701;3, Place de la Citadelle;33710;BOURG-SUR-GIRONDE;05 57 68 23 57;05 57 68 39 84;;1er mai;Ouvert de mars à mai et octobre week-end et jours fériés de 10h à 13h et de 14h à 19h, et de juin à septembre tous les jours;;01/02/2003;;NOUVELLE-AQUITAINE;GIRONDE;45.039716,-0.560789
Musée Municipal;2160301;3, Rue Jean-Jacques Collenot;21140;SEMUR-EN-AUXOIS;03 80 97 24 25;03 80 97 06 26;;;Ouvert du 1er novembre au 30 mars, mercredi, jeudi vendredi et samedi de 14h à 18h, du 1er avril au 31 octobre lundi, mercredi, jeudi, vendredi et dimanche de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.49017,4.336388
Musée Denon;7107601;Place de l'hotel de ville;71100;CHALON-SUR-SAONE;03 85 94 74 41;03 85 94 70 03;;Jours fériés;Ouvert du mercredi au lundi de 9h30 à 12h et de 14h à 17h30;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.780908,4.853057
Musée d'Art et d'Archéologie;7113701;Palais Jean de Bourbon Parc Abbatial - B.P. 10022;71250;CLUNY;03 85 59 12 79;03 85 59 02 65;;1er janvier, 1er mai, 1er et 11 novembre et 25 décembre;Ouvert d'octobre à mars de 9h30 à 17h, d'avril à juin et septembre de 9h30 à 18h en juillet août de 9h30 à 17h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.4606602983,4.62757728392
Musée d'Art et d'Histoire;8902402;Abbaye St-Germain 2 bis, Place Saint-Germain;89000;AUXERRE;03 86 18 05 50;03 86 18 05 54;;1er et 8 mai, 1er et 11 novembre, du 25 décembre au 1er janvier;Ouvert du mercredi au lundi du 1er octobre au 31 mars de 10h à 12h et de 14h à 17h, du 1er avril au 30 septembre de 10h à 12h et de 14h  à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;YONNE;47.8006402501,3.56347649804
Musée Municipal;2146401;12, Rue Camille Rodier;21700;NUITS-SAINT-GEORGES;03 80 62 01 37;03 80 62 01 37;;;Ouvert du 2 mai au 31 octobre du mercredi au lundi de 10h à 12h et de 14h à 18h. Pour les groupes ouverture sur réservation toute l'année;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.138661,4.950405
Musée Bourguignon -  Perrin de Puycousin;7154302;8, Place de l'Abbaye;71700;TOURNUS;03 85 51 29 68;03 85 51 36 57;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.566134,4.909274
Musée Muncipal;8938701;135 rue des Déportés et de la Résistance Passage Moïse;89100;SENS;03 86 83 88 90;03 86 83 88 99;;1er janvier, le 1er mai, le 14 juillet, le 1er novembre et le 25 décembre.;Ouvert du 1er octobre au 31 mai les lundis, jeudis et vendredis de 14h à 18h, les mercredis, samedis et dimanches de 10h à 12h et de 14h à 18h, du 1er juin au 30 septembre de 10h à 12h et de 14h à 18h, et en période de vacances scolaires (toutes zones) de;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;YONNE;48.1970131192,3.28915152427
Musée Leblanc-Duvernois;8902403;9 bis, Rue d'Egleny;89000;AUXERRE;03 86 18 05 50;03 86 18 05 54;;1er et 8 mai, 1er et 11 novembre, 25 décembre au 1er janvier;Ouvert du 1er avril au 30 septembre du mercredi au dimanche, de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;YONNE;47.795393,3.566248
Muséum - Maison de l'Eau;8902401;5, Boulevard Vauban;89000;AUXERRE;03 86 72 96 40;03 86 72 96 49;;Jours fériés et du 24 décembre au 1er janvier;Ouvert du lundi au vendredi de 13h30 à 17h30 et le dimanche de 14h à 17h30, les scolaires et les groupes sont accueillis du lundi au vendredi de 8h à 12h et de 13h30 à 17h30;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;YONNE;47.796936,3.564362
Hôtel Dieu - Musée Greuze;7154301;21, rue de l'hôpital;71700;TOURNUS;03 85 51 23 50;03 85 51 36 57;;1er mai;Ouvert du dernier week-end de mars au premier week-end de novembre de 10h à 13h et de 14h à  18h. Accueil de groupes toute l'année;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.562137,4.910839
Musée d'Art Sacré;2123107;Monastère des Bernardines 15-17, rue Sainte-Anne;21000;DIJON;03 80 48 80 90;03 80 48 80 99;;1er janvier, 1er et 8 mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du 1er avril auu 31 octobre tous les jours sauf le mardi  de 9h30 à 12h30 et de 14h à 18h, du 1er novembre au 31 mars les mercredis, samedis et dimanches de 9h30 à 12h30 et de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.3229417955,5.03751223305
Musée Archéologique;2123102;5, Rue du Docteur Maret CS 73310;21033;DIJON;03 80 48 83 70;03 80 48 83 71;;1er janvier, 1er et 8 mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du 1er avril au 31 octobre le lundi et du  mercredi au dimanche de 9h30 à 12h30 et de 14h à 18h, du 1er novembre au 31 mars les mercredis, samedis et dimanches de 9h30 à 12h30 et de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;
Musée du Prieuré de Charolles;7110602;Rue du Prieuré;71120;CHAROLLES;03 85 24 24 74;03 85 24 08 20;;Janvier à mars;Ouvert en mai tous les week-end de 14h à 18h, en juillet-août du mercredi au lundi de 14h à 18h, en juin et septembre du mercredi au lundi de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.432489,4.279275
Musée Saint-Nazaire;7104701;Rue St Nazaire;71140;BOURBON-LANCY;03 85 89 23 23;03 85 89 30 20;;;Ouvert en juillet août de 15h à 18h - ouverture exceptionnelle lors de la nuit des musées et JEP et sur demande;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.624445,3.770054
